STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYMR0084,"FAIRPORT 0.9 W, NY US",43.09827,-77.46167,129.5
US1NYOR0004,"WARWICK 3.2 WNW, NY US",41.268357,-74.415952,189.3
USC00302934,"FORT DRUM, NY US",44.05924,-75.71006,213.4
US1NYYT0012,"PENN YAN 5.1 NNW, NY US",42.7327308,-77.0778852,334.7
US1NYYT0013,"PENN YAN 7.2 NE, NY US",42.745432,-76.97246,148.4
US1NYCM0024,"CHEMUNG 5.7 N, NY US",42.0913,-76.6281,325.8
US1NYNG0002,"NORTH TONAWANDA 1.0 NNE, NY US",43.05725,-78.86175,176.2
USC00300870,"BREWERTON LOCK 23, NY US",43.2386,-76.1964,114.9
US1NYOD0043,"HOLLAND PATENT 1.1 WNW, NY US",43.2470657676458,-75.2775424718857,237.4
US1NYMG0001,"FORT PLAIN 0.2 SE, NY US",42.929985,-74.62643,94.2
US1NYSC0027,"NISKAYUNA 2.9 SSE, NY US",42.779114,-73.872421,114
US1NYRN0001,"AVERILL PARK 0.9 WNW, NY US",42.6391,-73.5698,192.9
US1NYSC0026,"NISKAYUNA 0.4 S, NY US",42.81078,-73.89764,125.9
US1NYMG0005,"AMSTERDAM 1.0 NNW, NY US",42.95467,-74.20085,163.1
US1NYOR0021,"PORT JERVIS 2.9 ESE, NY US",41.3599,-74.6409,416.1
US1NYMG0003,"HESSVILLE 1.8 WSW, NY US",42.8643,-74.7214,320
US1NYMG0002,"FONDA 5.2 W, NY US",42.964282,-74.47564,291.4
US1NYAB0023,"ALBANY 0.7 SW, NY US",42.660193,-73.810343,78
US1NYAB0021,"NWS ALBANY, NY US",42.6812,-73.8165,79.2
US1NYMR0065,"SCOTTSVILLE 0.4 NW, NY US",43.02539,-77.75963,180.4
US1NYOR0019,"GREENWOOD LAKE 3.0 SW, NY US",41.189,-74.3265,195.1
USC00309072,"WELLSVILLE, NY US",42.1173,-77.9475,460.2
US1NYOR0018,"WALDEN 1.3 S, NY US",41.541027,-74.1879,125.9
US1NYOR0017,"PINE BUSH 3.4 WSW, NY US",41.587962,-74.357663,126.8
US1NYQN0026,"JACKSON HEIGHTS 0.3 WSW, NY US",40.754411,-73.888164,18
US1NYOL0005,"MEDINA 0.4 WNW, NY US",43.223,-78.39539,164.6
